,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,sca_types_sca,sca_types_passlive,sca_types_passdead,sca_types_drib,sca_types_sh,sca_types_fld,sca_types_def,gca_types_gca,gca_types_passlive,gca_types_passdead,gca_types_drib,gca_types_sh,gca_types_fld,gca_types_def,team
49,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,pt Porto,17.0,12.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Atletico Madrid
50,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Home,W,4,1,Celta Vigo,19.0,16.0,1.0,1.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
51,2022-09-13,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,de Leverkusen,20.0,13.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
52,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Home,L,1,2,Real Madrid,19.0,12.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
53,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Away,W,2,0,Sevilla,38.0,35.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
54,2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,be Club Brugge,36.0,26.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Atletico Madrid
55,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Home,W,2,1,Girona,22.0,17.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,Atletico Madrid
56,2022-10-12,18:45,Champions Lg,Group stage,Wed,Home,D,0,0,be Club Brugge,39.0,28.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
57,2022-10-15,21:00,La Liga,Matchweek 9,Sat,Away,W,1,0,Athletic Club,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
58,2022-10-18,21:00,La Liga,Matchweek 10,Tue,Home,D,1,1,Rayo Vallecano,20.0,15.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
59,2022-10-23,16:15,La Liga,Matchweek 11,Sun,Away,W,2,1,Betis,13.0,10.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Atletico Madrid
60,2022-10-26,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,de Leverkusen,37.0,29.0,4.0,0.0,3.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Atletico Madrid
61,2022-08-15,21:30,La Liga,Matchweek 1,Mon,Home,W,3,0,Elche,29.0,17.0,3.0,3.0,4.0,2.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,Real Betis
62,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Away,W,2,1,Mallorca,15.0,10.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,Real Betis
63,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Home,W,1,0,Osasuna,15.0,10.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Betis
64,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Away,L,1,2,Real Madrid,15.0,10.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Real Betis
65,2022-09-08,19:45,Europa Lg,Group stage,Thu,Away,W,2,0,fi HJK,34.0,21.0,2.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,Real Betis
66,2022-09-11,21:00,La Liga,Matchweek 5,Sun,Home,W,1,0,Villarreal,28.0,16.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Betis
67,2022-09-15,21:00,Europa Lg,Group stage,Thu,Home,W,3,2,bg Ludogorets,30.0,26.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Real Betis
68,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2,1,Girona,15.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Real Betis
69,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Away,L,0,1,Celta Vigo,15.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Betis
70,2022-10-06,21:00,Europa Lg,Group stage,Thu,Away,W,2,1,it Roma,22.0,20.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Real Betis
71,2022-10-09,14:00,La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Betis
