,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2073,37.0,Sun,2017-05-14,20:00,Real Sociedad,2–2,Málaga,24959.0,Estadio Municipal de Anoeta,Santiago Jaime,,
2074,37.0,Sun,2017-05-14,20:00,Villarreal,0–0,La Coruña,16437.0,Estadio de la Cerámica,Jesús Gil,,
2075,37.0,Sun,2017-05-14,20:00,Athletic Club,1–1,Leganés,42049.0,San Mamés,David Fernández,,
2076,37.0,Sun,2017-05-14,20:00,Eibar,0–1,Sporting Gijón,5577.0,Estadio Municipal de Ipurúa,Juan Martínez,,
2077,37.0,Sun,2017-05-14,20:00,Real Madrid,4–1,Sevilla,79356.0,Estadio Santiago Bernabéu,Alberto Undiano,,
2078,37.0,Sun,2017-05-14,20:00,Betis,1–1,Atlético Madrid,27159.0,Estadio Benito Villamarín,Alfonso Álvarez,,
2080,21.0,Wed,2017-05-17,21:00,Celta Vigo,1–4,Real Madrid,22838.0,Estadio de Balaídos,Juan Martínez,,
2082,38.0,Fri,2017-05-19,20:45,Granada,1–2,Espanyol,10503.0,Estadio Nuevo Los Cármenes,Carlos Clos,,
2083,38.0,Sat,2017-05-20,17:00,Sporting Gijón,2–2,Betis,16201.0,Estadio Municipal El Molinón,Ignacio Iglesias,,
2084,38.0,Sat,2017-05-20,19:00,La Coruña,3–0,Las Palmas,21663.0,Estadio Municipal de Riazor,Mario Melero,,
2085,38.0,Sat,2017-05-20,19:00,Leganés,1–1,Alavés,10922.0,Estadio Municipal de Butarque,José González,,
2086,38.0,Sat,2017-05-20,21:00,Sevilla,5–0,Osasuna,26396.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,,
2087,38.0,Sun,2017-05-21,16:45,Valencia,1–3,Villarreal,33587.0,Estadio de Mestalla,David Fernández,,
2088,38.0,Sun,2017-05-21,16:45,Atlético Madrid,3–1,Athletic Club,52314.0,Estadio Vicente Calderón,Javier Estrada,,
2089,38.0,Sun,2017-05-21,16:45,Celta Vigo,2–2,Real Sociedad,14188.0,Estadio de Balaídos,José Sánchez,,
2090,38.0,Sun,2017-05-21,20:00,Barcelona,4–2,Eibar,74932.0,Camp Nou,Alejandro Hernández,,
2091,38.0,Sun,2017-05-21,20:00,Málaga,0–2,Real Madrid,27855.0,Estadio La Rosaleda,Ricardo de Burgos,,
2092,1.0,Fri,2015-08-21,20:30,Málaga,0–0,Sevilla,30372.0,Estadio La Rosaleda,Alfonso Álvarez,,
2093,1.0,Sat,2015-08-22,18:30,Espanyol,1–0,Getafe,16248.0,RCDE Stadium,Jesús Gil,,
2094,1.0,Sat,2015-08-22,18:30,La Coruña,0–0,Real Sociedad,23306.0,Estadio Municipal de Riazor,Antonio Matéu Lahoz,,
2095,1.0,Sat,2015-08-22,20:30,Atlético Madrid,1–0,Las Palmas,45107.0,Estadio Vicente Calderón,Eduardo Prieto,,
2096,1.0,Sat,2015-08-22,22:30,Rayo Vallecano,0–0,Valencia,9608.0,Estadio del Rayo Vallecano,Alberto Undiano,,
2097,1.0,Sun,2015-08-23,18:30,Athletic Club,0–1,Barcelona,44737.0,San Mamés,Carlos del Cerro,,
2098,1.0,Sun,2015-08-23,20:30,Sporting Gijón,0–0,Real Madrid,28105.0,Estadio Municipal El Molinón,Javier Estrada,,
2099,1.0,Sun,2015-08-23,22:00,Levante,1–2,Celta Vigo,11701.0,Estadio Ciudad de Valencia,Ricardo de Burgos,,
2100,1.0,Sun,2015-08-23,22:30,Betis,1–1,Villarreal,38572.0,Estadio Benito Villamarín,Iñaki Bikandi,,
2101,1.0,Mon,2015-08-24,20:30,Granada,1–3,Eibar,14795.0,Estadio Nuevo Los Cármenes,Ignacio Iglesias,,
2103,2.0,Fri,2015-08-28,20:30,Villarreal,3–1,Espanyol,17650.0,Estadio de la Cerámica,Carlos Velasco,,
2104,2.0,Sat,2015-08-29,18:30,Real Sociedad,0–0,Sporting Gijón,22478.0,Estadio Municipal de Anoeta,José Sánchez,,
