,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,team
6649,2015-10-26,20:30,La Liga,Matchweek 9,Mon,Home,W,3,0,Sporting Gijón,2.9,0.2,51.0,40477.0,Gorka Iraizoz,4-2-3-1,Ignacio Iglesias,Athletic Club
6650,2015-11-01,20:30,La Liga,Matchweek 10,Sun,Away,W,3,1,Betis,3.4,1.2,48.0,25872.0,Gorka Iraizoz,4-2-3-1,José González,Athletic Club
6652,2015-11-08,12:00,La Liga,Matchweek 11,Sun,Home,W,2,1,Espanyol,0.4,0.5,44.0,44082.0,Carlos Gurpegui,4-2-3-1,Alberto Undiano,Athletic Club
6653,2015-11-22,18:15,La Liga,Matchweek 12,Sun,Away,L,0,2,Granada,1.1,0.8,67.0,12979.0,Gorka Iraizoz,4-2-3-1,Carlos del Cerro,Athletic Club
6655,2015-11-29,18:15,La Liga,Matchweek 13,Sun,Away,W,3,0,Rayo Vallecano,2.4,1.9,33.0,13100.0,Gorka Iraizoz,4-2-3-1,Alejandro Hernández,Athletic Club
6657,2015-12-06,20:30,La Liga,Matchweek 14,Sun,Home,D,0,0,Málaga,0.7,0.6,45.0,41835.0,Carlos Gurpegui,4-2-3-1,Alfonso Álvarez,Athletic Club
6659,2015-12-13,18:15,La Liga,Matchweek 15,Sun,Away,L,1,2,Atlético Madrid,1.4,0.4,53.0,50137.0,Gorka Iraizoz,4-2-3-1,Juan Martínez,Athletic Club
6661,2015-12-20,18:15,La Liga,Matchweek 16,Sun,Home,W,2,0,Levante,2.2,0.4,53.0,39380.0,Gorka Iraizoz,4-2-3-1,Alejandro Hernández,Athletic Club
6662,2015-12-30,20:30,La Liga,Matchweek 17,Wed,Away,W,1,0,Celta Vigo,1.1,0.6,36.0,19092.0,Gorka Iraizoz,4-2-3-1,Pedro Pérez,Athletic Club
6663,2016-01-03,18:15,La Liga,Matchweek 18,Sun,Home,D,2,2,Las Palmas,1.8,0.7,41.0,41474.0,Carlos Gurpegui,4-2-3-1,Carlos del Cerro,Athletic Club
6665,2016-01-09,18:15,La Liga,Matchweek 19,Sat,Away,L,0,2,Sevilla,1.0,1.2,51.0,35388.0,Carlos Gurpegui,4-2-3-1,Eduardo Prieto,Athletic Club
6667,2016-01-17,20:30,La Liga,Matchweek 20,Sun,Away,L,0,6,Barcelona,1.2,3.4,24.0,68019.0,Gorka Iraizoz,4-4-1-1,Antonio Matéu Lahoz,Athletic Club
6669,2016-01-24,12:00,La Liga,Matchweek 21,Sun,Home,W,5,2,Eibar,1.0,2.0,55.0,43557.0,Markel Susaeta,4-2-3-1,Jesús Gil,Athletic Club
6671,2016-01-30,18:15,La Liga,Matchweek 22,Sat,Away,W,1,0,Getafe,1.7,1.3,42.0,9503.0,Carlos Gurpegui,4-2-3-1,Javier Estrada,Athletic Club
6672,2016-02-06,20:30,La Liga,Matchweek 23,Sat,Home,D,0,0,Villarreal,0.5,0.6,61.0,40941.0,Gorka Iraizoz,4-2-3-1,Mario Melero,Athletic Club
6673,2016-02-13,16:00,La Liga,Matchweek 24,Sat,Away,L,2,4,Real Madrid,1.7,2.2,40.0,77364.0,Gorka Iraizoz,4-2-3-1,Alfonso Álvarez,Athletic Club
6675,2016-02-21,18:15,La Liga,Matchweek 25,Sun,Home,L,0,1,Real Sociedad,0.9,0.6,61.0,47603.0,Carlos Gurpegui,4-2-3-1,José Sánchez,Athletic Club
6677,2016-02-28,16:00,La Liga,Matchweek 26,Sun,Away,W,3,0,Valencia,1.5,1.4,49.0,36576.0,Gorka Iraizoz,4-2-3-1,Jesús Gil,Athletic Club
6678,2016-03-02,20:00,La Liga,Matchweek 27,Wed,Home,W,4,1,La Coruña,3.0,1.2,55.0,37292.0,Gorka Iraizoz,4-2-3-1,Antonio Matéu Lahoz,Athletic Club
6679,2016-03-06,18:15,La Liga,Matchweek 28,Sun,Away,W,2,0,Sporting Gijón,1.3,0.4,54.0,23605.0,Gorka Iraizoz,4-2-3-1,Carlos del Cerro,Athletic Club
6681,2016-03-13,18:15,La Liga,Matchweek 29,Sun,Home,W,3,1,Betis,1.9,0.5,49.0,42437.0,Carlos Gurpegui,4-2-3-1,Santiago Jaime,Athletic Club
6683,2016-03-20,12:00,La Liga,Matchweek 30,Sun,Away,L,1,2,Espanyol,1.1,1.9,59.0,20753.0,Gorka Iraizoz,4-2-3-1,Eduardo Prieto,Athletic Club
6684,2016-04-03,12:00,La Liga,Matchweek 31,Sun,Home,D,1,1,Granada,1.7,0.6,54.0,40497.0,Carlos Gurpegui,4-2-3-1,Carlos Velasco,Athletic Club
6686,2016-04-10,20:30,La Liga,Matchweek 32,Sun,Home,W,1,0,Rayo Vallecano,0.8,1.7,44.0,37597.0,Gorka Iraizoz,4-2-3-1,Jesús Gil,Athletic Club
6688,2016-04-17,12:00,La Liga,Matchweek 33,Sun,Away,W,1,0,Málaga,0.7,2.1,53.0,25052.0,Carlos Gurpegui,4-2-3-1,José Sánchez,Athletic Club
6689,2016-04-20,20:45,La Liga,Matchweek 34,Wed,Home,L,0,1,Atlético Madrid,0.6,0.9,68.0,44474.0,Gorka Iraizoz,4-2-3-1,Juan Martínez,Athletic Club
6690,2016-04-24,12:00,La Liga,Matchweek 35,Sun,Away,D,2,2,Levante,1.3,0.5,65.0,15263.0,Gorka Iraizoz,4-2-3-1,Ignacio Iglesias,Athletic Club
6691,2016-05-01,12:00,La Liga,Matchweek 36,Sun,Home,W,2,1,Celta Vigo,1.5,0.4,57.0,42362.0,Gorka Iraizoz,4-2-3-1,Javier Estrada,Athletic Club
6692,2016-05-08,16:00,La Liga,Matchweek 37,Sun,Away,D,0,0,Las Palmas,0.5,0.2,40.0,27410.0,Gorka Iraizoz,4-2-3-1,Pedro Pérez,Athletic Club
6693,2016-05-14,19:30,La Liga,Matchweek 38,Sat,Home,W,3,1,Sevilla,1.8,1.2,57.0,43876.0,Carlos Gurpegui,4-2-3-1,Alfonso Álvarez,Athletic Club
6695,2015-08-21,20:30,La Liga,Matchweek 1,Fri,Away,D,0,0,Málaga,1.2,1.2,42.0,30372.0,José Antonio Reyes,4-2-3-1,Alfonso Álvarez,Sevilla
6696,2015-08-30,20:30,La Liga,Matchweek 2,Sun,Home,L,0,3,Atlético Madrid,1.6,1.3,63.0,38976.0,José Antonio Reyes,4-2-3-1,Carlos Clos Gómez,Sevilla
6697,2015-09-11,20:30,La Liga,Matchweek 3,Fri,Away,D,1,1,Levante,1.0,1.3,46.0,16568.0,Coke,4-4-2,Ignacio Iglesias,Sevilla
6699,2015-09-20,12:00,La Liga,Matchweek 4,Sun,Home,L,1,2,Celta Vigo,1.3,0.9,45.0,35744.0,José Antonio Reyes,4-2-3-1,Santiago Jaime,Sevilla
6700,2015-09-23,21:00,La Liga,Matchweek 5,Wed,Away,L,0,2,Las Palmas,,,57.0,19733.0,Coke,4-4-2,Carlos del Cerro,Sevilla
6701,2015-09-26,20:30,La Liga,Matchweek 6,Sat,Home,W,3,2,Rayo Vallecano,2.6,0.6,49.0,33709.0,Coke,4-2-3-1,Alejandro Hernández,Sevilla
6703,2015-10-03,16:00,La Liga,Matchweek 7,Sat,Home,W,2,1,Barcelona,1.3,3.4,37.0,39374.0,Coke,4-2-3-1,Jesús Gil,Sevilla
6704,2015-10-17,18:15,La Liga,Matchweek 8,Sat,Away,D,1,1,Eibar,1.7,0.7,58.0,5568.0,José Antonio Reyes,4-2-3-1,Juan Martínez,Sevilla
6706,2015-10-24,20:30,La Liga,Matchweek 9,Sat,Home,W,5,0,Getafe,4.0,0.3,57.0,34595.0,Vicente Iborra,4-2-3-1,Iñaki Bikandi,Sevilla
6707,2015-10-31,18:15,La Liga,Matchweek 10,Sat,Away,L,1,2,Villarreal,0.7,1.2,48.0,16730.0,Coke,4-2-3-1,José Sánchez,Sevilla
6709,2015-11-08,20:30,La Liga,Matchweek 11,Sun,Home,W,3,2,Real Madrid,2.1,1.6,45.0,40377.0,Éver Banega,4-2-3-1,José González,Sevilla
6710,2015-11-21,16:00,La Liga,Matchweek 12,Sat,Away,L,0,2,Real Sociedad,0.8,0.9,39.0,19865.0,José Antonio Reyes,4-2-3-1,Antonio Matéu Lahoz,Sevilla
6712,2015-11-29,20:30,La Liga,Matchweek 13,Sun,Home,W,1,0,Valencia,1.7,0.0,62.0,34914.0,Grzegorz Krychowiak,4-2-3-1,Carlos Velasco,Sevilla
6714,2015-12-05,22:00,La Liga,Matchweek 14,Sat,Away,D,1,1,La Coruña,1.2,0.7,56.0,25013.0,Grzegorz Krychowiak,4-2-3-1,Ricardo de Burgos,Sevilla
6716,2015-12-12,20:30,La Liga,Matchweek 15,Sat,Home,W,2,0,Sporting Gijón,2.2,0.1,71.0,29127.0,Éver Banega,4-2-3-1,Carlos del Cerro,Sevilla
6718,2015-12-19,20:30,La Liga,Matchweek 16,Sat,Away,D,0,0,Betis,1.3,0.3,52.0,50073.0,Grzegorz Krychowiak,4-2-3-1,Carlos Clos Gómez,Sevilla
6719,2015-12-30,18:15,La Liga,Matchweek 17,Wed,Home,W,2,0,Espanyol,1.9,0.8,43.0,35544.0,Vicente Iborra,4-2-3-1,Ignacio Iglesias,Sevilla
6720,2016-01-03,16:00,La Liga,Matchweek 18,Sun,Away,L,1,2,Granada,2.0,0.8,61.0,13469.0,José Antonio Reyes,4-4-2,Alberto Undiano,Sevilla
6722,2016-01-09,18:15,La Liga,Matchweek 19,Sat,Home,W,2,0,Athletic Club,1.2,1.0,49.0,35388.0,Coke,4-2-3-1,Eduardo Prieto,Sevilla
6724,2016-01-16,16:00,La Liga,Matchweek 20,Sat,Home,W,2,1,Málaga,1.1,1.2,54.0,34371.0,Vitolo,4-2-3-1,Javier Estrada,Sevilla
6726,2016-01-24,16:00,La Liga,Matchweek 21,Sun,Away,D,0,0,Atlético Madrid,0.2,1.5,30.0,52793.0,Coke,4-2-3-1,Ignacio Iglesias,Sevilla
6728,2016-01-31,12:00,La Liga,Matchweek 22,Sun,Home,W,3,1,Levante,2.5,0.8,47.0,33487.0,José Antonio Reyes,4-2-3-1,Alfonso Álvarez,Sevilla
6730,2016-02-07,18:15,La Liga,Matchweek 23,Sun,Away,D,1,1,Celta Vigo,0.7,1.8,26.0,16420.0,José Antonio Reyes,4-2-3-1,Carlos Velasco,Sevilla
6732,2016-02-14,16:00,La Liga,Matchweek 24,Sun,Home,W,2,0,Las Palmas,1.6,0.6,53.0,34448.0,José Antonio Reyes,4-2-3-1,Eduardo Prieto,Sevilla
6734,2016-02-21,12:00,La Liga,Matchweek 25,Sun,Away,D,2,2,Rayo Vallecano,3.5,1.7,38.0,12375.0,Coke,4-2-3-1,Javier Estrada,Sevilla
6736,2016-02-28,20:30,La Liga,Matchweek 26,Sun,Away,L,1,2,Barcelona,1.5,2.1,32.0,79684.0,Coke,4-2-3-1,Santiago Jaime,Sevilla
6737,2016-03-02,20:00,La Liga,Matchweek 27,Wed,Home,W,1,0,Eibar,1.5,1.2,53.0,29627.0,José Antonio Reyes,4-2-3-1,Juan Martínez,Sevilla
6738,2016-03-05,20:30,La Liga,Matchweek 28,Sat,Away,D,1,1,Getafe,0.4,0.8,51.0,6754.0,Coke,4-2-3-1,Eduardo Prieto,Sevilla
6740,2016-03-13,16:00,La Liga,Matchweek 29,Sun,Home,W,4,2,Villarreal,3.6,1.5,55.0,15918.0,Vicente Iborra,4-2-3-1,Carlos Velasco,Sevilla
6742,2016-03-20,20:30,La Liga,Matchweek 30,Sun,Away,L,0,4,Real Madrid,1.3,4.2,37.0,72976.0,Coke,4-4-1-1,Javier Estrada,Sevilla
6743,2016-04-03,20:30,La Liga,Matchweek 31,Sun,Home,L,1,2,Real Sociedad,2.1,0.3,65.0,32127.0,José Antonio Reyes,4-2-3-1,Carlos Clos Gómez,Sevilla
6745,2016-04-10,16:00,La Liga,Matchweek 32,Sun,Away,L,1,2,Valencia,1.0,2.2,50.0,41569.0,Coke,4-2-3-1,Iñaki Bikandi,Sevilla
6747,2016-04-17,16:00,La Liga,Matchweek 33,Sun,Home,D,1,1,La Coruña,1.7,0.8,58.0,30390.0,José Antonio Reyes,4-2-3-1,Santiago Jaime,Sevilla
6748,2016-04-20,20:45,La Liga,Matchweek 34,Wed,Away,L,1,2,Sporting Gijón,1.6,1.5,53.0,22985.0,Coke,4-2-3-1,José González,Sevilla
6749,2016-04-24,16:00,La Liga,Matchweek 35,Sun,Home,W,2,0,Betis,1.3,0.4,56.0,39523.0,José Antonio Reyes,4-2-3-1,Carlos Velasco,Sevilla
6751,2016-05-01,16:00,La Liga,Matchweek 36,Sun,Away,L,0,1,Espanyol,0.3,1.5,58.0,27654.0,Coke,4-2-3-1,Juan Martínez,Sevilla
6753,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Home,L,1,4,Granada,1.4,2.0,61.0,21915.0,Beto,4-4-2,Alberto Undiano,Sevilla
6754,2016-05-14,19:30,La Liga,Matchweek 38,Sat,Away,L,1,3,Athletic Club,1.2,1.8,43.0,43876.0,Vicente Iborra,4-4-2,Alfonso Álvarez,Sevilla
6757,2015-08-21,20:30,La Liga,Matchweek 1,Fri,Home,D,0,0,Sevilla,1.2,1.2,58.0,30372.0,Carlos Kameni,4-4-2,Alfonso Álvarez,Malaga
6758,2015-08-29,20:30,La Liga,Matchweek 2,Sat,Away,L,0,1,Barcelona,0.8,2.4,25.0,80812.0,Weligton Oliveira,4-4-2,Santiago Jaime,Malaga
6759,2015-09-13,20:30,La Liga,Matchweek 3,Sun,Home,D,0,0,Eibar,1.3,0.6,52.0,19836.0,Carlos Kameni,4-2-3-1,Alberto Undiano,Malaga
6760,2015-09-18,20:30,La Liga,Matchweek 4,Fri,Away,L,0,1,Getafe,0.7,1.1,61.0,5808.0,Carlos Kameni,4-2-3-1,José Sánchez,Malaga
6761,2015-09-23,22:00,La Liga,Matchweek 5,Wed,Home,L,0,1,Villarreal,0.8,0.9,59.0,18647.0,Weligton Oliveira,4-2-3-1,Ricardo de Burgos,Malaga
6762,2015-09-26,18:15,La Liga,Matchweek 6,Sat,Away,D,0,0,Real Madrid,0.6,3.2,43.0,75361.0,Carlos Kameni,4-4-2,José González,Malaga
6763,2015-10-03,22:05,La Liga,Matchweek 7,Sat,Home,W,3,1,Real Sociedad,1.6,1.1,36.0,17175.0,Duda,4-4-2,Carlos del Cerro,Malaga
6764,2015-10-17,22:00,La Liga,Matchweek 8,Sat,Away,L,0,3,Valencia,1.6,1.6,51.0,35756.0,Duda,4-2-3-1,Alejandro Hernández,Malaga
6765,2015-10-24,22:05,La Liga,Matchweek 9,Sat,Home,W,2,0,La Coruña,0.6,0.9,49.0,20664.0,Duda,4-2-3-1,Carlos Velasco,Malaga
6766,2015-11-01,18:15,La Liga,Matchweek 10,Sun,Away,L,0,1,Sporting Gijón,0.8,1.1,64.0,22506.0,Weligton Oliveira,4-2-3-1,Antonio Matéu Lahoz,Malaga
6767,2015-11-07,22:05,La Liga,Matchweek 11,Sat,Home,L,0,1,Betis,1.0,1.0,57.0,23699.0,Duda,4-4-2,Eduardo Prieto,Malaga
6768,2015-11-21,20:30,La Liga,Matchweek 12,Sat,Away,L,0,2,Espanyol,1.0,1.2,59.0,13293.0,Weligton Oliveira,4-4-2,Juan Martínez,Malaga
6769,2015-11-28,20:30,La Liga,Matchweek 13,Sat,Home,D,2,2,Granada,1.5,0.5,44.0,22931.0,Duda,4-2-3-1,Javier Estrada,Malaga
6771,2015-12-06,20:30,La Liga,Matchweek 14,Sun,Away,D,0,0,Athletic Club,0.6,0.7,55.0,41835.0,Duda,4-4-2,Alfonso Álvarez,Malaga
6772,2015-12-13,12:00,La Liga,Matchweek 15,Sun,Away,W,2,1,Rayo Vallecano,1.2,1.1,48.0,9423.0,Duda,4-4-2,Carlos Clos Gómez,Malaga
6774,2015-12-20,20:30,La Liga,Matchweek 16,Sun,Home,W,1,0,Atlético Madrid,0.9,0.4,61.0,19086.0,Weligton Oliveira,4-4-2,Antonio Matéu Lahoz,Malaga
6775,2015-12-30,16:00,La Liga,Matchweek 17,Wed,Away,W,1,0,Levante,1.3,0.3,57.0,12094.0,Weligton Oliveira,4-4-2,Jesús Gil,Malaga
6776,2016-01-02,22:05,La Liga,Matchweek 18,Sat,Home,W,2,0,Celta Vigo,2.7,0.8,49.0,17635.0,Weligton Oliveira,4-4-2,Iñaki Bikandi,Malaga
6777,2016-01-10,17:15,La Liga,Matchweek 19,Sun,Away,D,1,1,Las Palmas,1.5,0.5,41.0,21760.0,Weligton Oliveira,4-4-2,Ignacio Iglesias,Malaga
6778,2016-01-16,16:00,La Liga,Matchweek 20,Sat,Away,L,1,2,Sevilla,1.2,1.1,47.0,34371.0,Weligton Oliveira,4-4-2,Javier Estrada,Malaga
6779,2016-01-23,16:00,La Liga,Matchweek 21,Sat,Home,L,1,2,Barcelona,1.1,2.0,34.0,27559.0,Weligton Oliveira,4-4-2,Carlos Clos Gómez,Malaga
6780,2016-01-30,18:15,La Liga,Matchweek 22,Sat,Away,W,2,1,Eibar,1.2,1.2,43.0,5249.0,Ignacio Camacho,4-4-2,Antonio Matéu Lahoz,Malaga
6781,2016-02-05,20:30,La Liga,Matchweek 23,Fri,Home,W,3,0,Getafe,2.2,0.3,45.0,20268.0,Ignacio Camacho,4-4-2,Juan Martínez,Malaga
6782,2016-02-13,18:15,La Liga,Matchweek 24,Sat,Away,L,0,1,Villarreal,0.4,0.8,49.0,17142.0,Weligton Oliveira,4-4-2,Iñaki Bikandi,Malaga
6783,2016-02-21,16:00,La Liga,Matchweek 25,Sun,Home,D,1,1,Real Madrid,1.6,1.7,38.0,30372.0,Weligton Oliveira,4-4-2,Ignacio Iglesias,Malaga
6784,2016-02-27,22:05,La Liga,Matchweek 26,Sat,Away,D,1,1,Real Sociedad,1.3,1.0,42.0,12783.0,Weligton Oliveira,4-4-2,Alberto Undiano,Malaga
6785,2016-03-02,20:00,La Liga,Matchweek 27,Wed,Home,L,1,2,Valencia,0.4,1.1,46.0,20556.0,Ignacio Camacho,4-4-2,José González,Malaga
6786,2016-03-05,22:05,La Liga,Matchweek 28,Sat,Away,D,3,3,La Coruña,0.7,2.9,45.0,18446.0,Weligton Oliveira,4-4-2,Carlos Velasco,Malaga
6787,2016-03-11,20:30,La Liga,Matchweek 29,Fri,Home,W,1,0,Sporting Gijón,0.5,0.7,48.0,19297.0,Weligton Oliveira,4-4-2,Ricardo de Burgos,Malaga
6788,2016-03-19,22:05,La Liga,Matchweek 30,Sat,Away,W,1,0,Betis,0.8,1.2,45.0,31371.0,Weligton Oliveira,4-4-2,Carlos Clos Gómez,Malaga
6789,2016-04-03,16:00,La Liga,Matchweek 31,Sun,Home,D,1,1,Espanyol,1.4,0.3,64.0,24234.0,Weligton Oliveira,4-4-2,Juan Martínez,Malaga
6790,2016-04-08,20:30,La Liga,Matchweek 32,Fri,Away,D,0,0,Granada,1.0,0.8,51.0,18979.0,Weligton Oliveira,4-4-2,Javier Estrada,Malaga
6791,2016-04-17,12:00,La Liga,Matchweek 33,Sun,Home,L,0,1,Athletic Club,2.1,0.7,47.0,25052.0,Weligton Oliveira,4-4-2,José Sánchez,Malaga
6792,2016-04-20,20:45,La Liga,Matchweek 34,Wed,Home,D,1,1,Rayo Vallecano,1.0,0.7,51.0,13759.0,Weligton Oliveira,4-4-2,Alberto Undiano,Malaga
6793,2016-04-23,18:15,La Liga,Matchweek 35,Sat,Away,L,0,1,Atlético Madrid,0.2,1.3,54.0,47621.0,Weligton Oliveira,4-4-2,Antonio Matéu Lahoz,Malaga
6794,2016-05-02,20:30,La Liga,Matchweek 36,Mon,Home,W,3,1,Levante,2.4,1.8,58.0,17562.0,Ignacio Camacho,4-4-2,Iñaki Bikandi,Malaga
6795,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Away,L,0,1,Celta Vigo,1.0,1.6,44.0,20040.0,Weligton Oliveira,4-4-2,Carlos del Cerro,Malaga
6796,2016-05-15,12:00,La Liga,Matchweek 38,Sun,Home,W,4,1,Las Palmas,2.1,1.7,36.0,17913.0,Weligton Oliveira,4-4-2,Ricardo de Burgos,Malaga
6797,2015-08-22,18:30,La Liga,Matchweek 1,Sat,Away,D,0,0,La Coruña,0.8,0.7,42.0,23306.0,Xabi Prieto,4-4-2,Antonio Matéu Lahoz,Real Sociedad
6798,2015-08-29,18:30,La Liga,Matchweek 2,Sat,Home,D,0,0,Sporting Gijón,0.9,0.2,58.0,22478.0,Xabi Prieto,4-2-3-1,José Sánchez,Real Sociedad
6799,2015-09-12,22:00,La Liga,Matchweek 3,Sat,Away,L,0,1,Betis,0.8,0.7,61.0,38768.0,Xabi Prieto,4-2-3-1,Alfonso Álvarez,Real Sociedad
6800,2015-09-19,22:00,La Liga,Matchweek 4,Sat,Home,L,2,3,Espanyol,1.6,1.8,51.0,17481.0,Mikel González,4-2-3-1,Pedro Pérez,Real Sociedad
6801,2015-09-22,22:00,La Liga,Matchweek 5,Tue,Away,W,3,0,Granada,,,49.0,12668.0,Carlos Vela,4-2-3-1,Javier Estrada,Real Sociedad
6802,2015-09-27,20:30,La Liga,Matchweek 6,Sun,Home,D,0,0,Athletic Club,1.2,0.6,47.0,26310.0,Carlos Vela,4-2-3-1,Carlos Velasco,Real Sociedad
6803,2015-10-03,22:05,La Liga,Matchweek 7,Sat,Away,L,1,3,Málaga,1.1,1.6,64.0,17175.0,Gerónimo Rulli,4-2-3-1,Carlos del Cerro,Real Sociedad
6804,2015-10-18,16:00,La Liga,Matchweek 8,Sun,Home,L,0,2,Atlético Madrid,0.5,1.2,58.0,25644.0,Alberto de la Bella,4-2-3-1,Ignacio Iglesias,Real Sociedad
6805,2015-10-25,12:00,La Liga,Matchweek 9,Sun,Away,W,4,0,Levante,3.0,1.0,43.0,14270.0,Xabi Prieto,4-2-3-1,Alberto Undiano,Real Sociedad
6806,2015-10-31,22:05,La Liga,Matchweek 10,Sat,Home,L,2,3,Celta Vigo,1.4,1.6,42.0,19927.0,Xabi Prieto,4-2-3-1,David Fernández,Real Sociedad
6807,2015-11-06,19:30,La Liga,Matchweek 11,Fri,Away,L,0,2,Las Palmas,0.7,1.1,54.0,18461.0,Xabi Prieto,4-2-3-1,Carlos Velasco,Real Sociedad
6808,2015-11-21,16:00,La Liga,Matchweek 12,Sat,Home,W,2,0,Sevilla,0.9,0.8,61.0,19865.0,Xabi Prieto,4-2-3-1,Antonio Matéu Lahoz,Real Sociedad
6809,2015-11-28,16:00,La Liga,Matchweek 13,Sat,Away,L,0,4,Barcelona,0.6,2.9,44.0,74020.0,Xabi Prieto,4-4-2,Ignacio Iglesias,Real Sociedad
6811,2015-12-06,12:00,La Liga,Matchweek 14,Sun,Home,W,2,1,Eibar,2.1,0.7,65.0,23461.0,Xabi Prieto,4-2-3-1,Mario Melero,Real Sociedad
6812,2015-12-11,20:30,La Liga,Matchweek 15,Fri,Away,D,1,1,Getafe,1.6,0.5,63.0,5567.0,Carlos Vela,4-3-3,Pedro Pérez,Real Sociedad
6814,2015-12-20,18:15,La Liga,Matchweek 16,Sun,Home,L,0,2,Villarreal,1.5,1.0,66.0,21949.0,Carlos Vela,4-3-3,Carlos del Cerro,Real Sociedad
6815,2015-12-30,16:00,La Liga,Matchweek 17,Wed,Away,L,1,3,Real Madrid,0.6,3.2,50.0,69896.0,Xabi Prieto,4-2-3-1,José González,Real Sociedad
6816,2016-01-03,12:00,La Liga,Matchweek 18,Sun,Away,D,2,2,Rayo Vallecano,0.8,1.4,56.0,10756.0,Carlos Vela,4-2-3-1,Antonio Matéu Lahoz,Real Sociedad
6817,2016-01-10,16:00,La Liga,Matchweek 19,Sun,Home,W,2,0,Valencia,2.6,0.7,50.0,24217.0,Xabi Prieto,4-3-3,Alejandro Hernández,Real Sociedad
6818,2016-01-16,22:05,La Liga,Matchweek 20,Sat,Home,D,1,1,La Coruña,3.2,1.4,64.0,16783.0,Xabi Prieto,4-2-3-1,Juan Martínez,Real Sociedad
6819,2016-01-22,20:30,La Liga,Matchweek 21,Fri,Away,L,1,5,Sporting Gijón,1.2,4.4,57.0,23320.0,Xabi Prieto,4-3-3,David Fernández,Real Sociedad
6820,2016-01-30,22:05,La Liga,Matchweek 22,Sat,Home,W,2,1,Betis,0.5,1.1,46.0,15877.0,Xabi Prieto,4-2-3-1,Eduardo Prieto,Real Sociedad
6821,2016-02-08,20:30,La Liga,Matchweek 23,Mon,Away,W,5,0,Espanyol,1.7,0.3,35.0,14155.0,Mikel González,4-1-4-1,Santiago Jaime,Real Sociedad
6822,2016-02-14,12:00,La Liga,Matchweek 24,Sun,Home,W,3,0,Granada,2.4,1.2,49.0,19591.0,Xabi Prieto,4-2-3-1,José González,Real Sociedad
6823,2016-02-21,18:15,La Liga,Matchweek 25,Sun,Away,W,1,0,Athletic Club,0.6,0.9,40.0,47603.0,Xabi Prieto,4-3-3,José Sánchez,Real Sociedad
6824,2016-02-27,22:05,La Liga,Matchweek 26,Sat,Home,D,1,1,Málaga,1.0,1.3,58.0,12783.0,Xabi Prieto,4-2-3-1,Alberto Undiano,Real Sociedad
6825,2016-03-01,21:00,La Liga,Matchweek 27,Tue,Away,L,0,3,Atlético Madrid,1.0,2.4,47.0,35621.0,Xabi Prieto,4-3-3,Alejandro Hernández,Real Sociedad
6826,2016-03-06,18:15,La Liga,Matchweek 28,Sun,Home,D,1,1,Levante,1.8,0.4,58.0,18620.0,Xabi Prieto,4-3-3,Pedro Pérez,Real Sociedad
6827,2016-03-12,18:15,La Liga,Matchweek 29,Sat,Away,L,0,1,Celta Vigo,0.7,0.6,57.0,17767.0,Xabi Prieto,4-3-3,Juan Martínez,Real Sociedad
6828,2016-03-19,18:15,La Liga,Matchweek 30,Sat,Home,L,0,1,Las Palmas,0.7,1.5,62.0,18952.0,Xabi Prieto,4-2-3-1,Antonio Matéu Lahoz,Real Sociedad
6829,2016-04-03,20:30,La Liga,Matchweek 31,Sun,Away,W,2,1,Sevilla,0.3,2.1,35.0,32127.0,Xabi Prieto,4-3-3,Carlos Clos Gómez,Real Sociedad
6830,2016-04-09,20:30,La Liga,Matchweek 32,Sat,Home,W,1,0,Barcelona,0.4,1.2,26.0,27895.0,Xabi Prieto,4-3-3,Ignacio Iglesias,Real Sociedad
6831,2016-04-16,20:30,La Liga,Matchweek 33,Sat,Away,L,1,2,Eibar,0.8,1.1,57.0,5801.0,Xabi Prieto,4-2-3-1,Mario Melero,Real Sociedad
6832,2016-04-21,20:30,La Liga,Matchweek 34,Thu,Home,L,1,2,Getafe,1.1,1.5,60.0,14334.0,Carlos Vela,4-3-3,José Sánchez,Real Sociedad
6833,2016-04-24,20:30,La Liga,Matchweek 35,Sun,Away,D,0,0,Villarreal,0.7,0.5,60.0,17216.0,Carlos Vela,4-3-3,David Fernández,Real Sociedad
6834,2016-04-30,16:00,La Liga,Matchweek 36,Sat,Home,L,0,1,Real Madrid,0.5,1.2,45.0,26426.0,Xabi Prieto,4-3-3,Alberto Undiano,Real Sociedad
6835,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Home,W,2,1,Rayo Vallecano,1.3,1.5,38.0,18873.0,Xabi Prieto,4-2-3-1,Santiago Jaime,Real Sociedad
6836,2016-05-13,20:30,La Liga,Matchweek 38,Fri,Away,W,1,0,Valencia,1.0,0.9,50.0,27732.0,Rubén Pardo,4-2-3-1,Carlos Velasco,Real Sociedad
6837,2015-08-23,22:30,La Liga,Matchweek 1,Sun,Home,D,1,1,Villarreal,1.7,1.4,66.0,38572.0,Jorge Molina,4-4-2,Iñaki Bikandi,Real Betis
6838,2015-08-29,22:30,La Liga,Matchweek 2,Sat,Away,L,0,5,Real Madrid,1.1,2.3,31.0,70876.0,Rubén Castro,4-4-2,Alejandro Hernández,Real Betis
