,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
85,2022-08-13,19:00,La Liga,Matchweek 1,Sat,Away,W,3,0,Valladolid,3.0,10.0,4.0,40.0,0.3,0.75,15.6,0.0,0.0,0.0,1.4,1.4,0.14,1.6,1.6,Villarreal
87,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Away,W,2,0,Atlético Madrid,2.0,20.0,5.0,25.0,0.1,0.4,16.9,0.0,0.0,0.0,2.0,2.0,0.1,0.0,0.0,Villarreal
89,2022-08-28,17:30,La Liga,Matchweek 3,Sun,Away,D,0,0,Getafe,0.0,11.0,6.0,54.5,0.0,0.0,15.3,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,Villarreal
90,2022-09-04,18:30,La Liga,Matchweek 4,Sun,Home,W,4,0,Elche,4.0,18.0,10.0,55.6,0.22,0.4,11.4,1.0,0.0,0.0,3.7,3.7,0.24,0.3,0.3,Villarreal
92,2022-09-11,21:00,La Liga,Matchweek 5,Sun,Away,L,0,1,Betis,0.0,14.0,2.0,14.3,0.0,0.0,16.3,0.0,0.0,0.0,2.0,2.0,0.15,-2.0,-2.0,Villarreal
94,2022-09-18,16:15,La Liga,Matchweek 6,Sun,Home,D,1,1,Sevilla,1.0,17.0,6.0,35.3,0.06,0.17,18.4,1.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,Villarreal
95,2022-10-01,14:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Cádiz,0.0,14.0,6.0,42.9,0.0,0.0,19.2,1.0,0.0,0.0,1.4,1.4,0.11,-1.4,-1.4,Villarreal
97,2022-10-09,18:30,La Liga,Matchweek 8,Sun,Away,L,0,1,Real Sociedad,0.0,5.0,1.0,20.0,0.0,0.0,18.4,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,Villarreal
99,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Away,D,0,0,Athletic Club,0.0,6.0,2.0,33.3,0.0,0.0,14.6,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,Mallorca
100,2022-08-20,19:30,La Liga,Matchweek 2,Sat,Home,L,1,2,Betis,1.0,13.0,7.0,53.8,0.08,0.14,17.6,2.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Mallorca
101,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Away,W,2,0,Rayo Vallecano,2.0,9.0,4.0,44.4,0.22,0.5,17.1,0.0,0.0,0.0,0.6,0.6,0.06,1.4,1.4,Mallorca
102,2022-09-03,14:00,La Liga,Matchweek 4,Sat,Home,D,1,1,Girona,1.0,11.0,5.0,45.5,0.09,0.2,15.7,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,Mallorca
103,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Away,L,1,4,Real Madrid,1.0,5.0,2.0,40.0,0.2,0.5,13.7,0.0,0.0,0.0,0.4,0.4,0.09,0.6,0.6,Mallorca
104,2022-09-17,14:00,La Liga,Matchweek 6,Sat,Home,W,1,0,Almería,1.0,5.0,2.0,40.0,0.2,0.5,14.7,0.0,0.0,0.0,0.6,0.6,0.11,0.4,0.4,Mallorca
105,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Home,L,0,1,Barcelona,0.0,13.0,3.0,23.1,0.0,0.0,15.7,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,Mallorca
