,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
6007,2016-04-10,18:15,La Liga,Matchweek 32,Sun,Home,W,2,0,Getafe,2.0,13.0,3.0,23.1,0.15,0.67,12.9,0.0,0.0,0.0,1.7,1.7,0.14,0.3,0.3,Villarreal
6009,2016-04-17,18:15,La Liga,Matchweek 33,Sun,Away,L,1,2,Rayo Vallecano,1.0,6.0,2.0,33.3,0.17,0.5,16.2,0.0,0.0,0.0,0.6,0.6,0.11,0.4,0.4,Villarreal
6010,2016-04-20,22:00,La Liga,Matchweek 34,Wed,Away,L,0,3,Real Madrid,0.0,5.0,2.0,40.0,0.0,0.0,21.1,1.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Villarreal
6011,2016-04-24,20:30,La Liga,Matchweek 35,Sun,Home,D,0,0,Real Sociedad,0.0,8.0,3.0,37.5,0.0,0.0,19.1,1.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,Villarreal
6013,2016-05-01,20:30,La Liga,Matchweek 36,Sun,Away,W,2,0,Valencia,2.0,8.0,3.0,37.5,0.25,0.67,14.6,0.0,0.0,0.0,1.1,1.1,0.14,0.9,0.9,Villarreal
6015,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Home,L,0,2,La Coruña,0.0,10.0,4.0,40.0,0.0,0.0,18.8,1.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Villarreal
6016,2016-05-15,19:30,La Liga,Matchweek 38,Sun,Away,L,0,2,Sporting Gijón,0.0,10.0,5.0,50.0,0.0,0.0,22.3,1.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Villarreal
6022,2015-08-23,18:30,La Liga,Matchweek 1,Sun,Home,L,0,1,Barcelona,0.0,8.0,2.0,25.0,0.0,0.0,19.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,Athletic Club
6024,2015-08-30,18:30,La Liga,Matchweek 2,Sun,Away,L,0,2,Eibar,0.0,9.0,1.0,11.1,0.0,0.0,21.8,1.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Athletic Club
6025,2015-09-13,16:00,La Liga,Matchweek 3,Sun,Home,W,3,1,Getafe,3.0,14.0,6.0,42.9,0.21,0.5,16.7,0.0,0.0,0.0,1.4,1.4,0.1,1.6,1.6,Athletic Club
6027,2015-09-20,18:15,La Liga,Matchweek 4,Sun,Away,L,1,3,Villarreal,1.0,10.0,2.0,20.0,0.1,0.5,16.4,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,Athletic Club
6028,2015-09-23,21:00,La Liga,Matchweek 5,Wed,Home,L,1,2,Real Madrid,1.0,12.0,5.0,41.7,0.08,0.2,14.5,0.0,0.0,0.0,1.6,1.6,0.14,-0.6,-0.6,Athletic Club
6029,2015-09-27,20:30,La Liga,Matchweek 6,Sun,Away,D,0,0,Real Sociedad,0.0,10.0,2.0,20.0,0.0,0.0,21.5,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Athletic Club
6031,2015-10-04,16:00,La Liga,Matchweek 7,Sun,Home,W,3,1,Valencia,3.0,16.0,7.0,43.8,0.19,0.43,17.5,1.0,0.0,0.0,2.2,2.2,0.14,0.8,0.8,Athletic Club
6032,2015-10-18,20:30,La Liga,Matchweek 8,Sun,Away,D,2,2,La Coruña,2.0,7.0,2.0,28.6,0.29,1.0,14.5,0.0,0.0,0.0,0.6,0.6,0.09,1.4,1.4,Athletic Club
6034,2015-10-26,20:30,La Liga,Matchweek 9,Mon,Home,W,3,0,Sporting Gijón,3.0,20.0,6.0,30.0,0.15,0.5,16.6,0.0,0.0,1.0,2.9,2.0,0.1,0.1,1.0,Athletic Club
6035,2015-11-01,20:30,La Liga,Matchweek 10,Sun,Away,W,3,1,Betis,3.0,23.0,9.0,39.1,0.13,0.33,16.3,0.0,0.0,0.0,3.4,3.4,0.15,-0.4,-0.4,Athletic Club
6037,2015-11-08,12:00,La Liga,Matchweek 11,Sun,Home,W,2,1,Espanyol,2.0,8.0,2.0,25.0,0.25,1.0,20.4,0.0,0.0,0.0,0.4,0.4,0.05,1.6,1.6,Athletic Club
6038,2015-11-22,18:15,La Liga,Matchweek 12,Sun,Away,L,0,2,Granada,0.0,11.0,6.0,54.5,0.0,0.0,18.7,1.0,0.0,0.0,1.1,1.1,0.1,-1.1,-1.1,Athletic Club
6040,2015-11-29,18:15,La Liga,Matchweek 13,Sun,Away,W,3,0,Rayo Vallecano,3.0,10.0,4.0,40.0,0.2,0.5,19.1,0.0,1.0,1.0,2.4,1.6,0.16,0.6,0.4,Athletic Club
6042,2015-12-06,20:30,La Liga,Matchweek 14,Sun,Home,D,0,0,Málaga,0.0,11.0,2.0,18.2,0.0,0.0,22.3,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Athletic Club
6044,2015-12-13,18:15,La Liga,Matchweek 15,Sun,Away,L,1,2,Atlético Madrid,1.0,10.0,5.0,50.0,0.1,0.2,19.5,3.0,0.0,0.0,1.4,1.4,0.14,-0.4,-0.4,Athletic Club
6046,2015-12-20,18:15,La Liga,Matchweek 16,Sun,Home,W,2,0,Levante,2.0,18.0,7.0,38.9,0.11,0.29,14.2,1.0,0.0,0.0,2.2,2.2,0.13,-0.2,-0.2,Athletic Club
6047,2015-12-30,20:30,La Liga,Matchweek 17,Wed,Away,W,1,0,Celta Vigo,1.0,13.0,5.0,38.5,0.08,0.2,22.1,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Athletic Club
6048,2016-01-03,18:15,La Liga,Matchweek 18,Sun,Home,D,2,2,Las Palmas,2.0,15.0,5.0,33.3,0.07,0.2,16.0,0.0,1.0,1.0,1.8,1.1,0.08,0.2,-0.1,Athletic Club
6050,2016-01-09,18:15,La Liga,Matchweek 19,Sat,Away,L,0,2,Sevilla,0.0,11.0,3.0,27.3,0.0,0.0,12.9,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,Athletic Club
6052,2016-01-17,20:30,La Liga,Matchweek 20,Sun,Away,L,0,6,Barcelona,0.0,9.0,3.0,33.3,0.0,0.0,17.5,2.0,0.0,0.0,1.2,1.2,0.13,-1.2,-1.2,Athletic Club
6054,2016-01-24,12:00,La Liga,Matchweek 21,Sun,Home,W,5,2,Eibar,4.0,10.0,5.0,50.0,0.4,0.8,13.9,0.0,0.0,0.0,1.0,1.0,0.1,3.0,3.0,Athletic Club
6056,2016-01-30,18:15,La Liga,Matchweek 22,Sat,Away,W,1,0,Getafe,1.0,12.0,3.0,25.0,0.08,0.33,18.6,2.0,0.0,0.0,1.7,1.7,0.14,-0.7,-0.7,Athletic Club
6057,2016-02-06,20:30,La Liga,Matchweek 23,Sat,Home,D,0,0,Villarreal,0.0,10.0,1.0,10.0,0.0,0.0,16.4,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Athletic Club
6058,2016-02-13,16:00,La Liga,Matchweek 24,Sat,Away,L,2,4,Real Madrid,2.0,10.0,3.0,30.0,0.2,0.67,10.8,0.0,0.0,0.0,1.7,1.7,0.17,0.3,0.3,Athletic Club
6060,2016-02-21,18:15,La Liga,Matchweek 25,Sun,Home,L,0,1,Real Sociedad,0.0,9.0,2.0,22.2,0.0,0.0,16.5,1.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,Athletic Club
6062,2016-02-28,16:00,La Liga,Matchweek 26,Sun,Away,W,3,0,Valencia,3.0,13.0,4.0,30.8,0.23,0.75,17.7,1.0,0.0,0.0,1.5,1.5,0.12,1.5,1.5,Athletic Club
6063,2016-03-02,20:00,La Liga,Matchweek 27,Wed,Home,W,4,1,La Coruña,4.0,13.0,6.0,46.2,0.31,0.67,17.8,0.0,0.0,0.0,3.0,3.0,0.23,1.0,1.0,Athletic Club
6064,2016-03-06,18:15,La Liga,Matchweek 28,Sun,Away,W,2,0,Sporting Gijón,2.0,10.0,6.0,60.0,0.2,0.33,20.6,1.0,0.0,0.0,1.3,1.3,0.13,0.7,0.7,Athletic Club
6066,2016-03-13,18:15,La Liga,Matchweek 29,Sun,Home,W,3,1,Betis,3.0,18.0,9.0,50.0,0.17,0.33,16.7,0.0,0.0,0.0,1.9,1.9,0.11,1.1,1.1,Athletic Club
6068,2016-03-20,12:00,La Liga,Matchweek 30,Sun,Away,L,1,2,Espanyol,1.0,14.0,4.0,28.6,0.07,0.25,17.7,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,Athletic Club
6069,2016-04-03,12:00,La Liga,Matchweek 31,Sun,Home,D,1,1,Granada,1.0,9.0,1.0,11.1,0.11,1.0,15.0,0.0,0.0,1.0,1.7,0.9,0.11,-0.7,0.1,Athletic Club
6071,2016-04-10,20:30,La Liga,Matchweek 32,Sun,Home,W,1,0,Rayo Vallecano,1.0,14.0,7.0,50.0,0.07,0.14,18.2,1.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,Athletic Club
6073,2016-04-17,12:00,La Liga,Matchweek 33,Sun,Away,W,1,0,Málaga,1.0,6.0,3.0,50.0,0.17,0.33,11.1,0.0,0.0,0.0,0.7,0.7,0.12,0.3,0.3,Athletic Club
6074,2016-04-20,20:45,La Liga,Matchweek 34,Wed,Home,L,0,1,Atlético Madrid,0.0,12.0,6.0,50.0,0.0,0.0,16.6,1.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Athletic Club
6075,2016-04-24,12:00,La Liga,Matchweek 35,Sun,Away,D,2,2,Levante,2.0,19.0,8.0,42.1,0.11,0.25,19.4,0.0,0.0,0.0,1.3,1.3,0.07,0.7,0.7,Athletic Club
6076,2016-05-01,12:00,La Liga,Matchweek 36,Sun,Home,W,2,1,Celta Vigo,2.0,10.0,2.0,20.0,0.1,0.5,20.0,1.0,1.0,1.0,1.5,0.7,0.08,0.5,0.3,Athletic Club
6077,2016-05-08,16:00,La Liga,Matchweek 37,Sun,Away,D,0,0,Las Palmas,0.0,9.0,3.0,33.3,0.0,0.0,19.7,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Athletic Club
6078,2016-05-14,19:30,La Liga,Matchweek 38,Sat,Home,W,3,1,Sevilla,3.0,13.0,6.0,46.2,0.23,0.5,15.8,0.0,0.0,0.0,1.8,1.8,0.14,1.2,1.2,Athletic Club
6080,2015-08-21,20:30,La Liga,Matchweek 1,Fri,Away,D,0,0,Málaga,0.0,10.0,2.0,20.0,0.0,0.0,15.1,0.0,0.0,0.0,1.2,1.2,0.12,-1.2,-1.2,Sevilla
6081,2015-08-30,20:30,La Liga,Matchweek 2,Sun,Home,L,0,3,Atlético Madrid,0.0,25.0,7.0,28.0,0.0,0.0,16.6,1.0,0.0,0.0,1.6,1.6,0.06,-1.6,-1.6,Sevilla
6082,2015-09-11,20:30,La Liga,Matchweek 3,Fri,Away,D,1,1,Levante,1.0,8.0,3.0,37.5,0.13,0.33,12.3,0.0,0.0,0.0,1.0,1.0,0.13,0.0,0.0,Sevilla
6084,2015-09-20,12:00,La Liga,Matchweek 4,Sun,Home,L,1,2,Celta Vigo,1.0,13.0,5.0,38.5,0.08,0.2,13.9,0.0,0.0,0.0,1.3,1.3,0.1,-0.3,-0.3,Sevilla
6085,2015-09-23,21:00,La Liga,Matchweek 5,Wed,Away,L,0,2,Las Palmas,0.0,17.0,3.0,17.6,0.0,0.0,,,0.0,0.0,,,,,,Sevilla
6086,2015-09-26,20:30,La Liga,Matchweek 6,Sat,Home,W,3,2,Rayo Vallecano,3.0,16.0,8.0,50.0,0.19,0.38,15.1,1.0,0.0,0.0,2.6,2.6,0.16,0.4,0.4,Sevilla
6088,2015-10-03,16:00,La Liga,Matchweek 7,Sat,Home,W,2,1,Barcelona,2.0,12.0,5.0,41.7,0.17,0.4,13.3,0.0,0.0,0.0,1.3,1.3,0.11,0.7,0.7,Sevilla
6089,2015-10-17,18:15,La Liga,Matchweek 8,Sat,Away,D,1,1,Eibar,1.0,15.0,5.0,33.3,0.07,0.2,16.3,0.0,0.0,0.0,1.7,1.7,0.12,-0.7,-0.7,Sevilla
6091,2015-10-24,20:30,La Liga,Matchweek 9,Sat,Home,W,5,0,Getafe,5.0,22.0,13.0,59.1,0.09,0.15,19.3,2.0,3.0,3.0,4.0,1.7,0.08,1.0,0.3,Sevilla
6092,2015-10-31,18:15,La Liga,Matchweek 10,Sat,Away,L,1,2,Villarreal,1.0,6.0,3.0,50.0,0.17,0.33,11.6,0.0,0.0,0.0,0.7,0.7,0.11,0.3,0.3,Sevilla
6094,2015-11-08,20:30,La Liga,Matchweek 11,Sun,Home,W,3,2,Real Madrid,3.0,14.0,5.0,35.7,0.21,0.6,14.2,0.0,0.0,0.0,2.1,2.1,0.15,0.9,0.9,Sevilla
6095,2015-11-21,16:00,La Liga,Matchweek 12,Sat,Away,L,0,2,Real Sociedad,0.0,13.0,5.0,38.5,0.0,0.0,15.9,1.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Sevilla
6097,2015-11-29,20:30,La Liga,Matchweek 13,Sun,Home,W,1,0,Valencia,1.0,15.0,5.0,33.3,0.07,0.2,14.4,0.0,0.0,0.0,1.7,1.7,0.11,-0.7,-0.7,Sevilla
6099,2015-12-05,22:00,La Liga,Matchweek 14,Sat,Away,D,1,1,La Coruña,1.0,8.0,2.0,25.0,0.13,0.5,18.4,1.0,0.0,0.0,1.2,1.2,0.14,-0.2,-0.2,Sevilla
6101,2015-12-12,20:30,La Liga,Matchweek 15,Sat,Home,W,2,0,Sporting Gijón,2.0,18.0,7.0,38.9,0.06,0.14,20.9,1.0,1.0,1.0,2.2,1.4,0.08,-0.2,-0.4,Sevilla
6103,2015-12-19,20:30,La Liga,Matchweek 16,Sat,Away,D,0,0,Betis,0.0,8.0,2.0,25.0,0.0,0.0,15.1,1.0,0.0,0.0,1.3,1.3,0.17,-1.3,-1.3,Sevilla
6104,2015-12-30,18:15,La Liga,Matchweek 17,Wed,Home,W,2,0,Espanyol,2.0,15.0,10.0,66.7,0.13,0.2,14.5,0.0,0.0,0.0,1.9,1.9,0.14,0.1,0.1,Sevilla
6105,2016-01-03,16:00,La Liga,Matchweek 18,Sun,Away,L,1,2,Granada,1.0,14.0,6.0,42.9,0.07,0.17,13.4,0.0,0.0,0.0,2.0,2.0,0.15,-1.0,-1.0,Sevilla
6107,2016-01-09,18:15,La Liga,Matchweek 19,Sat,Home,W,2,0,Athletic Club,2.0,4.0,4.0,100.0,0.25,0.25,17.2,0.0,1.0,1.0,1.2,0.4,0.1,0.8,0.6,Sevilla
6109,2016-01-16,16:00,La Liga,Matchweek 20,Sat,Home,W,2,1,Málaga,2.0,8.0,4.0,50.0,0.25,0.5,18.8,0.0,0.0,0.0,1.1,1.1,0.14,0.9,0.9,Sevilla
6111,2016-01-24,16:00,La Liga,Matchweek 21,Sun,Away,D,0,0,Atlético Madrid,0.0,7.0,1.0,14.3,0.0,0.0,18.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Sevilla
6113,2016-01-31,12:00,La Liga,Matchweek 22,Sun,Home,W,3,1,Levante,3.0,14.0,8.0,57.1,0.21,0.38,16.2,0.0,0.0,0.0,2.5,2.5,0.18,0.5,0.5,Sevilla
6115,2016-02-07,18:15,La Liga,Matchweek 23,Sun,Away,D,1,1,Celta Vigo,1.0,9.0,2.0,22.2,0.11,0.5,16.7,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,Sevilla
6117,2016-02-14,16:00,La Liga,Matchweek 24,Sun,Home,W,2,0,Las Palmas,2.0,9.0,5.0,55.6,0.22,0.4,14.4,0.0,0.0,0.0,1.6,1.6,0.18,0.4,0.4,Sevilla
6119,2016-02-21,12:00,La Liga,Matchweek 25,Sun,Away,D,2,2,Rayo Vallecano,2.0,14.0,7.0,50.0,0.14,0.29,8.0,0.0,0.0,0.0,3.5,3.5,0.27,-1.5,-1.5,Sevilla
6121,2016-02-28,20:30,La Liga,Matchweek 26,Sun,Away,L,1,2,Barcelona,1.0,11.0,4.0,36.4,0.09,0.25,13.6,0.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,Sevilla
6122,2016-03-02,20:00,La Liga,Matchweek 27,Wed,Home,W,1,0,Eibar,1.0,14.0,4.0,28.6,0.07,0.25,16.2,0.0,0.0,0.0,1.5,1.5,0.11,-0.5,-0.5,Sevilla
6123,2016-03-05,20:30,La Liga,Matchweek 28,Sat,Away,D,1,1,Getafe,1.0,7.0,4.0,57.1,0.14,0.25,17.2,2.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,Sevilla
6125,2016-03-13,16:00,La Liga,Matchweek 29,Sun,Home,W,4,2,Villarreal,3.0,14.0,4.0,28.6,0.21,0.75,13.2,0.0,0.0,0.0,3.6,3.6,0.27,-0.6,-0.6,Sevilla
6127,2016-03-20,20:30,La Liga,Matchweek 30,Sun,Away,L,0,4,Real Madrid,0.0,8.0,4.0,50.0,0.0,0.0,15.8,0.0,0.0,1.0,1.3,0.6,0.07,-1.3,-0.6,Sevilla
6128,2016-04-03,20:30,La Liga,Matchweek 31,Sun,Home,L,1,2,Real Sociedad,1.0,15.0,6.0,40.0,0.0,0.0,18.1,1.0,1.0,1.0,2.1,1.3,0.09,-1.1,-1.3,Sevilla
6130,2016-04-10,16:00,La Liga,Matchweek 32,Sun,Away,L,1,2,Valencia,1.0,7.0,4.0,57.1,0.14,0.25,11.2,0.0,0.0,0.0,1.0,1.0,0.14,0.0,0.0,Sevilla
6132,2016-04-17,16:00,La Liga,Matchweek 33,Sun,Home,D,1,1,La Coruña,1.0,11.0,3.0,27.3,0.09,0.33,10.6,1.0,0.0,0.0,1.7,1.7,0.16,-0.7,-0.7,Sevilla
6133,2016-04-20,20:45,La Liga,Matchweek 34,Wed,Away,L,1,2,Sporting Gijón,1.0,18.0,8.0,44.4,0.06,0.13,15.8,0.0,0.0,0.0,1.6,1.6,0.09,-0.6,-0.6,Sevilla
6134,2016-04-24,16:00,La Liga,Matchweek 35,Sun,Home,W,2,0,Betis,2.0,13.0,3.0,23.1,0.15,0.67,14.9,2.0,0.0,0.0,1.3,1.3,0.1,0.7,0.7,Sevilla
6136,2016-05-01,16:00,La Liga,Matchweek 36,Sun,Away,L,0,1,Espanyol,0.0,7.0,0.0,0.0,0.0,,22.1,1.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Sevilla
6138,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Home,L,1,4,Granada,1.0,12.0,6.0,50.0,0.08,0.17,15.6,0.0,0.0,0.0,1.4,1.4,0.12,-0.4,-0.4,Sevilla
6139,2016-05-14,19:30,La Liga,Matchweek 38,Sat,Away,L,1,3,Athletic Club,1.0,9.0,5.0,55.6,0.11,0.2,20.7,0.0,0.0,0.0,1.2,1.2,0.14,-0.2,-0.2,Sevilla
6142,2015-08-22,18:30,La Liga,Matchweek 1,Sat,Away,D,0,0,La Coruña,0.0,9.0,2.0,22.2,0.0,0.0,17.0,2.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,Real Sociedad
6143,2015-08-29,18:30,La Liga,Matchweek 2,Sat,Home,D,0,0,Sporting Gijón,0.0,12.0,1.0,8.3,0.0,0.0,17.4,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Real Sociedad
6144,2015-09-12,22:00,La Liga,Matchweek 3,Sat,Away,L,0,1,Betis,0.0,14.0,3.0,21.4,0.0,0.0,16.5,1.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Real Sociedad
6145,2015-09-19,22:00,La Liga,Matchweek 4,Sat,Home,L,2,3,Espanyol,2.0,10.0,3.0,30.0,0.2,0.67,17.6,1.0,0.0,0.0,1.6,1.6,0.16,0.4,0.4,Real Sociedad
6146,2015-09-22,22:00,La Liga,Matchweek 5,Tue,Away,W,3,0,Granada,3.0,8.0,5.0,62.5,0.38,0.6,,,0.0,0.0,,,,,,Real Sociedad
6147,2015-09-27,20:30,La Liga,Matchweek 6,Sun,Home,D,0,0,Athletic Club,0.0,15.0,4.0,26.7,0.0,0.0,20.5,1.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2,Real Sociedad
6148,2015-10-03,22:05,La Liga,Matchweek 7,Sat,Away,L,1,3,Málaga,1.0,13.0,5.0,38.5,0.08,0.2,15.5,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Real Sociedad
6149,2015-10-18,16:00,La Liga,Matchweek 8,Sun,Home,L,0,2,Atlético Madrid,0.0,11.0,1.0,9.1,0.0,0.0,22.4,2.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Real Sociedad
6150,2015-10-25,12:00,La Liga,Matchweek 9,Sun,Away,W,4,0,Levante,4.0,13.0,6.0,46.2,0.31,0.67,12.5,0.0,0.0,0.0,3.0,3.0,0.26,1.0,1.0,Real Sociedad
6151,2015-10-31,22:05,La Liga,Matchweek 10,Sat,Home,L,2,3,Celta Vigo,2.0,20.0,5.0,25.0,0.1,0.4,17.3,1.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,Real Sociedad
6152,2015-11-06,19:30,La Liga,Matchweek 11,Fri,Away,L,0,2,Las Palmas,0.0,11.0,6.0,54.5,0.0,0.0,16.4,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Real Sociedad
6153,2015-11-21,16:00,La Liga,Matchweek 12,Sat,Home,W,2,0,Sevilla,2.0,14.0,7.0,50.0,0.14,0.29,18.6,1.0,0.0,0.0,0.9,0.9,0.07,1.1,1.1,Real Sociedad
6154,2015-11-28,16:00,La Liga,Matchweek 13,Sat,Away,L,0,4,Barcelona,0.0,10.0,2.0,20.0,0.0,0.0,19.9,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Real Sociedad
6156,2015-12-06,12:00,La Liga,Matchweek 14,Sun,Home,W,2,1,Eibar,2.0,10.0,7.0,70.0,0.2,0.29,12.6,0.0,0.0,0.0,2.1,2.1,0.21,-0.1,-0.1,Real Sociedad
6157,2015-12-11,20:30,La Liga,Matchweek 15,Fri,Away,D,1,1,Getafe,1.0,10.0,6.0,60.0,0.1,0.17,15.1,0.0,0.0,0.0,1.6,1.6,0.16,-0.6,-0.6,Real Sociedad
6159,2015-12-20,18:15,La Liga,Matchweek 16,Sun,Home,L,0,2,Villarreal,0.0,16.0,2.0,12.5,0.0,0.0,18.0,0.0,0.0,0.0,1.5,1.5,0.09,-1.5,-1.5,Real Sociedad
6160,2015-12-30,16:00,La Liga,Matchweek 17,Wed,Away,L,1,3,Real Madrid,1.0,13.0,2.0,15.4,0.08,0.5,20.4,1.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,Real Sociedad
6161,2016-01-03,12:00,La Liga,Matchweek 18,Sun,Away,D,2,2,Rayo Vallecano,2.0,15.0,7.0,46.7,0.13,0.29,18.8,2.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,Real Sociedad
6162,2016-01-10,16:00,La Liga,Matchweek 19,Sun,Home,W,2,0,Valencia,2.0,24.0,7.0,29.2,0.08,0.29,16.7,0.0,0.0,0.0,2.6,2.6,0.11,-0.6,-0.6,Real Sociedad
6163,2016-01-16,22:05,La Liga,Matchweek 20,Sat,Home,D,1,1,La Coruña,1.0,16.0,6.0,37.5,0.0,0.0,15.3,0.0,1.0,1.0,3.2,2.5,0.16,-2.2,-2.5,Real Sociedad
6164,2016-01-22,20:30,La Liga,Matchweek 21,Fri,Away,L,1,5,Sporting Gijón,1.0,9.0,3.0,33.3,0.11,0.33,13.6,1.0,0.0,0.0,1.2,1.2,0.15,-0.2,-0.2,Real Sociedad
6165,2016-01-30,22:05,La Liga,Matchweek 22,Sat,Home,W,2,1,Betis,2.0,11.0,4.0,36.4,0.18,0.5,19.1,0.0,0.0,0.0,0.5,0.5,0.05,1.5,1.5,Real Sociedad
6166,2016-02-08,20:30,La Liga,Matchweek 23,Mon,Away,W,5,0,Espanyol,5.0,12.0,6.0,50.0,0.42,0.83,16.6,0.0,0.0,0.0,1.7,1.7,0.15,3.3,3.3,Real Sociedad
6167,2016-02-14,12:00,La Liga,Matchweek 24,Sun,Home,W,3,0,Granada,3.0,12.0,6.0,50.0,0.25,0.5,14.9,0.0,0.0,0.0,2.4,2.4,0.21,0.6,0.6,Real Sociedad
6168,2016-02-21,18:15,La Liga,Matchweek 25,Sun,Away,W,1,0,Athletic Club,1.0,9.0,4.0,44.4,0.11,0.25,21.1,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,Real Sociedad
6169,2016-02-27,22:05,La Liga,Matchweek 26,Sat,Home,D,1,1,Málaga,1.0,10.0,3.0,30.0,0.1,0.33,14.3,1.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,Real Sociedad
6170,2016-03-01,21:00,La Liga,Matchweek 27,Tue,Away,L,0,3,Atlético Madrid,0.0,7.0,1.0,14.3,0.0,0.0,16.2,0.0,0.0,0.0,1.0,1.0,0.15,-1.0,-1.0,Real Sociedad
6171,2016-03-06,18:15,La Liga,Matchweek 28,Sun,Home,D,1,1,Levante,1.0,15.0,3.0,20.0,0.07,0.33,14.4,0.0,0.0,0.0,1.8,1.8,0.12,-0.8,-0.8,Real Sociedad
6172,2016-03-12,18:15,La Liga,Matchweek 29,Sat,Away,L,0,1,Celta Vigo,0.0,15.0,6.0,40.0,0.0,0.0,20.2,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Real Sociedad
6173,2016-03-19,18:15,La Liga,Matchweek 30,Sat,Home,L,0,1,Las Palmas,0.0,13.0,3.0,23.1,0.0,0.0,17.7,1.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Real Sociedad
6174,2016-04-03,20:30,La Liga,Matchweek 31,Sun,Away,W,2,1,Sevilla,1.0,8.0,2.0,25.0,0.13,0.5,21.2,1.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,Real Sociedad
6175,2016-04-09,20:30,La Liga,Matchweek 32,Sat,Home,W,1,0,Barcelona,1.0,5.0,1.0,20.0,0.2,1.0,19.1,0.0,0.0,0.0,0.4,0.4,0.09,0.6,0.6,Real Sociedad
6176,2016-04-16,20:30,La Liga,Matchweek 33,Sat,Away,L,1,2,Eibar,1.0,7.0,4.0,57.1,0.14,0.25,15.2,1.0,0.0,0.0,0.8,0.8,0.12,0.2,0.2,Real Sociedad
6177,2016-04-21,20:30,La Liga,Matchweek 34,Thu,Home,L,1,2,Getafe,1.0,14.0,5.0,35.7,0.07,0.2,13.8,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Real Sociedad
6178,2016-04-24,20:30,La Liga,Matchweek 35,Sun,Away,D,0,0,Villarreal,0.0,7.0,2.0,28.6,0.0,0.0,13.0,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,Real Sociedad
6179,2016-04-30,16:00,La Liga,Matchweek 36,Sat,Home,L,0,1,Real Madrid,0.0,11.0,4.0,36.4,0.0,0.0,21.2,1.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Real Sociedad
6180,2016-05-08,17:00,La Liga,Matchweek 37,Sun,Home,W,2,1,Rayo Vallecano,2.0,12.0,6.0,50.0,0.17,0.33,14.0,0.0,0.0,0.0,1.3,1.3,0.11,0.7,0.7,Real Sociedad
6181,2016-05-13,20:30,La Liga,Matchweek 38,Fri,Away,W,1,0,Valencia,1.0,14.0,7.0,50.0,0.07,0.14,19.7,1.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Real Sociedad
