_date_,_time_,comp,round,_day_,home,away,homegoal,xg_home,homeshots,homeshots_on_target,home_distance,home_freekicks,home_penkicks,home_penkicksattempt,awaygoal,xg_away,awayshots,awayshots_on_target,away_distance,away_freekicks,away_penkicks,away_penkicksattempt
2017-12-09,13:00:00,La Liga,Matchweek 15,Sat,Getafe,Eibar,0,0.5,7,3,16.5,1,0,0,0,0.9,6,1,25.7,0,0,1
2017-12-09,20:45:00,La Liga,Matchweek 15,Sat,Valencia,Celta Vigo,2,1.5,12,6,19.2,0,1,1,1,1.2,13,5,20.4,1,0,0
2017-12-09,18:30:00,La Liga,Matchweek 15,Sat,La Coruña,Leganés,1,1.3,18,4,18.7,0,0,0,0,0.1,3,0,16.7,0,0,0
2017-12-09,16:15:00,La Liga,Matchweek 15,Sat,Real Madrid,Sevilla,5,3.0,20,7,17.2,0,1,1,0,0.5,10,3,19.5,0,0,0
2017-12-10,18:30:00,La Liga,Matchweek 15,Sun,Levante,Athletic Club,1,0.8,13,2,17.7,2,0,0,2,1.2,13,2,18.3,0,1,1
2017-12-10,20:45:00,La Liga,Matchweek 15,Sun,Villarreal,Barcelona,0,0.6,9,5,22.0,0,0,0,2,3.0,16,6,16.0,2,0,0
2017-12-10,16:15:00,La Liga,Matchweek 15,Sun,Betis,Atlético Madrid,0,0.4,9,4,24.7,1,0,0,1,0.7,4,2,18.1,0,0,0
2017-12-10,12:00:00,La Liga,Matchweek 15,Sun,Real Sociedad,Málaga,0,1.6,16,2,15.7,0,0,0,2,1.7,7,4,27.0,1,1,2
2017-12-11,21:00:00,La Liga,Matchweek 15,Mon,Espanyol,Girona,0,0.3,7,3,18.7,0,0,0,1,1.1,12,5,14.5,0,0,0
2017-12-15,21:00:00,La Liga,Matchweek 16,Fri,Sevilla,Levante,0,1.7,18,6,14.1,0,0,0,0,1.5,11,2,17.1,3,0,0
2017-12-16,20:45:00,La Liga,Matchweek 16,Sat,Atlético Madrid,Alavés,1,0.9,10,3,15.8,0,0,0,0,0.5,11,0,19.3,0,0,0
2017-12-16,18:30:00,La Liga,Matchweek 16,Sat,Eibar,Valencia,2,0.9,14,3,16.6,1,0,0,1,1.4,8,3,13.0,0,0,0
2017-12-16,16:15:00,La Liga,Matchweek 16,Sat,Athletic Club,Real Sociedad,0,0.6,7,1,12.7,0,0,0,0,0.8,10,2,22.2,1,0,0
2017-12-17,12:00:00,La Liga,Matchweek 16,Sun,Girona,Getafe,1,0.3,7,2,23.8,0,0,0,0,0.3,7,0,23.7,1,0,0
2017-12-17,16:15:00,La Liga,Matchweek 16,Sun,Celta Vigo,Villarreal,0,0.6,10,3,19.1,3,0,0,1,0.6,8,5,18.6,0,0,0
2017-12-17,20:45:00,La Liga,Matchweek 16,Sun,Barcelona,La Coruña,4,5.9,22,10,13.2,1,0,1,0,0.4,10,3,28.2,0,0,0
2017-12-17,17:30:00,La Liga,Matchweek 16,Sun,Las Palmas,Espanyol,2,1.5,12,4,19.6,0,0,1,2,1.9,8,3,13.7,0,0,0
2017-12-18,21:00:00,La Liga,Matchweek 16,Mon,Málaga,Betis,0,0.9,18,2,18.4,0,0,0,2,1.5,10,4,13.7,1,0,0
2017-12-19,21:30:00,La Liga,Matchweek 17,Tue,Levante,Leganés,0,0.9,11,3,16.6,0,0,0,0,0.5,10,2,19.9,0,0,0
2017-12-20,19:30:00,La Liga,Matchweek 17,Wed,Getafe,Las Palmas,2,2.5,13,6,14.8,0,0,0,0,2.5,17,6,16.4,2,0,0
2017-12-20,21:30:00,La Liga,Matchweek 17,Wed,Real Sociedad,Sevilla,3,1.4,14,5,17.3,0,0,0,1,0.4,9,4,20.1,1,0,0
