_date_,_time_,comp,round,_day_,attendance,referee,home,away,homegoal,xg_home,awaygoal,xg_away,homeformation,awayformation,homepossession,awaypossession,homecaptain,awaycaptain
2017-11-04,13:00:00,La Liga,Matchweek 11,Sat,39694,Ricardo de Burgos,Valencia,Leganés,3,1.9,0,1.0,4-4-2,4-4-1-1,57.0,43.0,Daniel Parejo,Alexander
2017-11-04,18:30:00,La Liga,Matchweek 11,Sat,19368,Pablo González,Alavés,Espanyol,1,1.2,0,0.8,3-5-2,4-4-2,35.0,65.0,Manu García,Víctor Sánchez
2017-11-04,16:15:00,La Liga,Matchweek 11,Sat,22733,Alfonso Álvarez,La Coruña,Atlético Madrid,0,0.5,1,0.5,4-2-3-1,4-4-2,50.0,50.0,Celso Borges,Gabi
2017-11-05,18:30:00,La Liga,Matchweek 11,Sun,17755,Javier Estrada,Villarreal,Málaga,2,0.9,0,0.6,4-4-2◆,4-2-3-1,56.0,44.0,Mario Gaspar,Recio
2017-11-05,20:45:00,La Liga,Matchweek 11,Sun,67120,José Sánchez,Real Madrid,Las Palmas,3,2.4,0,0.2,4-4-2◆,3-5-2,59.0,41.0,Sergio Ramos,Vicente Gómez
2017-11-05,12:00:00,La Liga,Matchweek 11,Sun,18324,José Munuera,Levante,Girona,1,0.6,2,1.1,4-1-4-1,3-4-3,49.0,51.0,Pedro López Muñoz,Álex Granell
2017-11-05,18:30:00,La Liga,Matchweek 11,Sun,20387,Daniel Trujillo,Real Sociedad,Eibar,3,2.1,1,0.4,4-3-3,3-5-2,51.0,49.0,Xabi Prieto,Ander Capa
2017-11-05,16:15:00,La Liga,Matchweek 11,Sun,19779,Jesús Gil,Celta Vigo,Athletic Club,3,1.2,1,1.6,4-3-3,4-2-3-1,49.0,51.0,Hugo Mallo,Markel Susaeta
2017-11-17,21:00:00,La Liga,Matchweek 12,Fri,10136,Ignacio Iglesias,Girona,Real Sociedad,1,1.2,1,1.3,3-4-3,4-3-3,54.0,46.0,Álex Granell,Xabi Prieto
2017-11-18,18:30:00,La Liga,Matchweek 12,Sat,35030,Carlos del Cerro,Sevilla,Celta Vigo,2,1.3,1,1.7,4-2-3-1,4-4-2,51.0,49.0,Sergio Escudero,Hugo Mallo
2017-11-18,20:45:00,La Liga,Matchweek 12,Sat,66496,David Fernández,Atlético Madrid,Real Madrid,0,0.9,0,1.3,4-2-3-1,4-4-2◆,34.0,66.0,Gabi,Sergio Ramos
2017-11-18,16:15:00,La Liga,Matchweek 12,Sat,11454,Alberto Undiano,Leganés,Barcelona,0,1.3,3,1.7,4-2-3-1,4-4-2,33.0,67.0,Alexander,Andrés Iniesta
2017-11-18,13:00:00,La Liga,Matchweek 12,Sat,10014,Santiago Jaime,Getafe,Alavés,4,2.8,1,0.7,4-4-2,3-5-2,43.0,57.0,Jorge Molina,Manu García
2017-11-19,16:15:00,La Liga,Matchweek 12,Sun,25529,Alejandro Hernández,Espanyol,Valencia,0,1.2,2,0.7,4-4-2,4-4-2,47.0,53.0,Víctor Sánchez,Daniel Parejo
2017-11-19,17:30:00,La Liga,Matchweek 12,Sun,26212,Mario Melero,Las Palmas,Levante,0,0.7,2,0.9,4-1-4-1,4-1-4-1,61.0,39.0,Jonathan Viera,José Luis Morales
2017-11-19,20:45:00,La Liga,Matchweek 12,Sun,36666,David Medié,Athletic Club,Villarreal,1,0.7,1,1.1,4-2-3-1,4-4-2◆,47.0,53.0,Ander Iturraspe,Mario Gaspar
2017-11-19,12:00:00,La Liga,Matchweek 12,Sun,24563,Juan Martínez,Málaga,La Coruña,3,1.7,2,1.6,4-4-2,4-3-3,47.0,53.0,Roberto Rosales,Celso Borges
2017-11-20,21:00:00,La Liga,Matchweek 12,Mon,4638,José González,Eibar,Betis,5,2.2,0,1.0,4-4-2,4-1-4-1,44.0,56.0,Dani García,Antonio Adán
2017-11-24,21:00:00,La Liga,Matchweek 13,Fri,10611,Alejandro Hernández,Celta Vigo,Leganés,1,1.6,0,1.2,4-4-2,4-4-2,58.0,42.0,Hugo Mallo,Alexander
2017-11-25,20:45:00,La Liga,Matchweek 13,Sat,21549,Daniel Trujillo,Levante,Atlético Madrid,0,1.3,5,3.6,4-1-4-1,4-4-2,46.0,54.0,José Luis Morales,Gabi
2017-11-25,16:15:00,La Liga,Matchweek 13,Sat,75671,Jesús Gil,Real Madrid,Málaga,3,2.4,2,0.3,4-4-2◆,4-4-2,57.0,43.0,Marcelo,Recio
2017-11-25,13:00:00,La Liga,Matchweek 13,Sat,19272,José Munuera,Alavés,Eibar,1,0.4,2,0.7,4-4-2,4-4-2,44.0,56.0,Manu García,Dani García
2017-11-25,18:30:00,La Liga,Matchweek 13,Sat,45681,Carlos del Cerro,Betis,Girona,2,1.0,2,1.3,4-3-3,3-4-3,52.0,48.0,Joaquín,Álex Granell
2017-11-26,18:30:00,La Liga,Matchweek 13,Sun,18698,Alberola Rojas,Villarreal,Sevilla,2,2.3,3,1.6,4-4-2◆,4-2-3-1,46.0,54.0,Mario Gaspar,Gabriel Mercado
2017-11-26,12:00:00,La Liga,Matchweek 13,Sun,20879,José González,La Coruña,Athletic Club,2,1.8,2,1.1,4-1-4-1,4-2-3-1,50.0,50.0,Pedro Mosquera,Markel Susaeta
2017-11-26,16:15:00,La Liga,Matchweek 13,Sun,19780,Pablo González,Real Sociedad,Las Palmas,2,1.9,2,1.4,4-2-3-1,4-4-2,51.0,49.0,Xabi Prieto,Jonathan Viera
2017-11-26,20:45:00,La Liga,Matchweek 13,Sun,47775,Ignacio Iglesias,Valencia,Barcelona,1,1.2,1,1.0,4-4-2,4-4-2,31.0,69.0,Daniel Parejo,Andrés Iniesta
2017-11-27,21:00:00,La Liga,Matchweek 13,Mon,11756,Juan Martínez,Espanyol,Getafe,1,1.2,0,1.0,4-4-2,4-4-2,51.0,49.0,Víctor Sánchez,Jorge Molina
2017-12-01,21:00:00,La Liga,Matchweek 14,Fri,17886,Ricardo de Burgos,Málaga,Levante,0,0.7,0,0.7,4-4-1-1,4-4-2,61.0,39.0,Recio,José Luis Morales
2017-12-02,13:00:00,La Liga,Matchweek 14,Sat,63208,Mario Melero,Barcelona,Celta Vigo,2,3.3,2,1.4,4-4-2◆,4-4-2,65.0,35.0,Andrés Iniesta,Hugo Mallo
2017-12-02,18:30:00,La Liga,Matchweek 14,Sat,32017,José Sánchez,Sevilla,La Coruña,2,1.1,0,0.7,4-3-3,4-4-2,57.0,43.0,Sergio Escudero,Celso Borges
