_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
31,Sun,2019-04-07,18:30:00,Celta Vigo,3–1,Real Sociedad,20519,Estadio de Balaídos,Mario Melero,2.6,1.4,3,1
31,Sun,2019-04-07,20:45:00,Betis,2–1,Villarreal,28475,Estadio Benito Villamarín,Javier Estrada,2.4,1.5,2,1
32,Sat,2019-04-13,13:00:00,Espanyol,2–1,Alavés,18143,RCDE Stadium,Ignacio Iglesias,0.5,0.8,2,1
32,Sat,2019-04-13,16:15:00,Huesca,0–0,Barcelona,7332,Estadio El Alcoraz,Guillermo Cuadra,0.3,1.0,0,0
32,Sat,2019-04-13,18:30:00,Atlético Madrid,2–0,Celta Vigo,55269,Estadio Wanda Metropolitano,Ricardo de Burgos,1.5,0.9,2,0
32,Sat,2019-04-13,20:45:00,Sevilla,3–2,Betis,42855,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,1.7,1.1,3,2
32,Sun,2019-04-14,12:00:00,Valladolid,2–2,Getafe,16909,Estadio Municipal José Zorrilla,José Luis Munuera,1.2,1.2,2,2
32,Sun,2019-04-14,14:00:00,Athletic Club,3–2,Rayo Vallecano,38732,San Mamés,Juan Martínez,2.1,1.0,3,2
32,Sun,2019-04-14,16:15:00,Real Sociedad,1–1,Eibar,24308,Estadio Municipal de Anoeta,Santiago Jaime,0.6,1.0,1,1
32,Sun,2019-04-14,18:30:00,Girona,0–1,Villarreal,11535,Estadi Municipal de Montilivi,Adrián Cordero,0.8,1.4,0,1
32,Sun,2019-04-14,20:45:00,Valencia,3–1,Levante,42120,Estadio de Mestalla,Alberto Undiano,2.4,0.2,3,1
32,Mon,2019-04-15,21:00:00,Leganés,1–1,Real Madrid,12118,Estadio Municipal de Butarque,David Medié,0.5,0.9,1,1
33,Fri,2019-04-19,21:00:00,Alavés,2–2,Valladolid,13568,Estadio de Mendizorroza,Javier Estrada,1.5,1.5,2,2
33,Sat,2019-04-20,13:00:00,Celta Vigo,2–1,Girona,20546,Estadio de Balaídos,Carlos del Cerro,1.3,0.7,2,1
